Product Name,SKU,Room Type,Themes,Category,Description,Image_URL
Loox LED 4004 Recess Light,HL-4004,Kitchen,Modern,Lighting,1?W warm white recessed light,https://www.hafeleindia.com/en/product/recess-mounted-light-haefele-loox-led-4004-350-ma-plastic/_jcr_content/root/columns/column_1361976907/image.coreimg.png/1593783965177/00863440.png (hafeleindia.com)
Loox LED 4005 Recess Light,HL-4005,Kitchen,Classic,Lighting,1?W warm white with bezel set-of?3,https://hafeleindia.com/.../00863436.png (hafeleindia.com)
Loox LED 2048 12?V Recess,HL-2048,Wardrobe,Rustic,Lighting,Multi-white adjust. metal housing,https://hafeleindia.com/.../00863442.png (hafeleindia.com)
Loox LED 3039 24?V Recess,HL-3039,Kitchen,Modern,Lighting,3?W adjustable recessed lamp,https://hafeleindia.com/.../00863445.png (hafeleindia.com)
Loox LED 2027 Surface Down,HL-2027,Living Room,Minimalist,Lighting,"Edge lighting, 2.6?W surface downlight",https://hafeleindia.com/.../00863479.png (hafeleindia.com)
Loox LED 2039 12?V Recess,HL-2039,Bathroom,Modern,Lighting,"58?mm drill hole, cool white",https://hafeleindia.com/.../00863420.png (hafeleindia.com)
Loox LED 2017 Glass Edge,HL-2017,Living Room,Classic,Lighting,Stainless steel glass edge light,https://hafeleindia.com/.../00863528.png (hafeleindia.com)
Loox5 LED Strip 3052,HL-3052,Kitchen,Modern,Lighting,"Linear strip light, 140 LEDs/m",Public snippet only from Hafele’s strip light info (hafeleindia.com) (adjust if URL accessible)
Loox LED 2028 Plinth Light,HL-2028,Kitchen,Industrial,Lighting,"Stainless plinth LED light, 40?mm drill hole",https://hafeleindia.com/.../P?00863420.png (use from product listing)
Loox LED 2020 Recess Cool,HL-2020,Wardrobe,Minimalist,Lighting,Round 55?mm cool-white recessed light,Public variant from Hafele site product library
